A,G,GP,PIM,Pts,draft_num,draft_team,junior_team,name,pos,round_num
35,9,82,34,44,1,Buffalo,Frolunda HC [SweHL],Rasmus Dahlin,D,1
17,20,82,62,37,2,Carolina,Barrie Colts [OHL],Andrei Svechnikov,R,1
23,11,79,26,34,3,Montreal,Assat Pori [SM-liiga],Jesperi Kotkaniemi,C,1
23,22,71,75,45,4,Ottawa,Boston University [H-East],Brady Tkachuk,L,1
0,0,0,0,0,5,Arizona,Soo Greyhounds [OHL],Barrett Hayton,C,1
2,1,9,0,3,6,Detroit,Halifax Mooseheads [QMJHL],Filip Zadina,R,1
3,0,5,2,3,7,Vancouver,U. of Michigan [Big-10],Quinn Hughes,D,1
0,0,0,0,0,8,Chicago,Brynas IF Gavle [SweHL],Adam Boqvist,D,1
0,0,0,0,0,9,NY Rangers,Chelyabinsk Traktor [KHL],Vitali Kravtsov,R,1
0,1,7,2,1,10,Edmonton,London Knights [OHL],Evan Bouchard,D,1
0,0,0,0,0,11,NY Islanders,U.S. National Under-18 Team [USHL],Oliver Wahlstrom,R,1
0,0,0,0,0,12,NY Islanders,Acadie-Bathurst Titan [QMJHL],Noah Dobson,D,1
0,0,0,0,0,13,Dallas,Flint Firebirds [OHL],Ty Dellandrea,C,1
0,0,0,0,0,14,Philadelphia,U.S. National Under-18 Team [USHL],Joel Farabee,L,1
0,0,0,0,0,15,Florida,Yaroslavl (Russia-Jr),Grigori Denisenko,L,1
0,0,0,0,0,16,Colorado,Pardubice HC [Czech],Martin Kaut,R,1
0,0,0,0,0,17,New Jersey,Spokane Chiefs [WHL],Ty Smith,D,1
0,0,0,0,0,18,Columbus,London Knights [OHL],Liam Foudy,C,1
0,0,0,0,0,19,Philadelphia,Thayer Academy (US H.S.),Jay O'Brien,C,1
0,0,0,0,0,20,Los Angeles,Karpat [SM-liiga],Rasmus Kupari,C,1
0,0,0,0,0,21,San Jose,Guelph Storm [OHL],Ryan Merkley,D,1
0,0,0,0,0,22,NY Rangers,U.S. National Under-18 Team [USHL],K'Andre Miller,D,1
2,0,15,2,2,23,Anaheim,Lulea HF [SweHL],Isac Lundestrom,C,1
0,0,0,0,0,24,Minnesota,Leksands IF [Swe-1],Filip Johansson,D,1
0,0,0,0,0,25,St. Louis,Vaxjo HC [SweHL],Dominik Bokk,L,1
0,0,0,0,0,26,Ottawa,Okotoks Oilers [AJHL],Jacob Bernard-Docker,D,1
0,0,0,0,0,27,Chicago,Drummondville Voltigeurs [QMJHL],Nicolas Beaudin,D,1
0,0,0,0,0,28,NY Rangers,Lulea HF [SweHL],Nils Lundkvist,D,1
0,0,0,0,0,29,Toronto,Soo Greyhounds [OHL],Rasmus Sandin,D,1
0,0,0,0,0,30,Detroit,Drummondville Voltigeurs [QMJHL],Joe Veleno,C,1
0,0,0,0,0,31,Washington,Red Deer Rebels [WHL],Alexander Alexeyev,D,1
