A,G,GP,PIM,Pts,draft_num,draft_team,draft_year,junior_team,name,pos,round_num
35,9,82,34,44,1,Buffalo,2018,Frolunda HC [SweHL],Rasmus Dahlin,D,1
17,20,82,62,37,2,Carolina,2018,Barrie Colts [OHL],Andrei Svechnikov,R,1
23,11,79,26,34,3,Montreal,2018,Assat Pori [SM-liiga],Jesperi Kotkaniemi,C,1
23,22,71,75,45,4,Ottawa,2018,Boston University [H-East],Brady Tkachuk,L,1
0,0,0,0,0,5,Arizona,2018,Soo Greyhounds [OHL],Barrett Hayton,C,1
2,1,9,0,3,6,Detroit,2018,Halifax Mooseheads [QMJHL],Filip Zadina,R,1
3,0,5,2,3,7,Vancouver,2018,U. of Michigan [Big-10],Quinn Hughes,D,1
0,0,0,0,0,8,Chicago,2018,Brynas IF Gavle [SweHL],Adam Boqvist,D,1
0,0,0,0,0,9,NY Rangers,2018,Chelyabinsk Traktor [KHL],Vitali Kravtsov,R,1
0,1,7,2,1,10,Edmonton,2018,London Knights [OHL],Evan Bouchard,D,1
0,0,0,0,0,11,NY Islanders,2018,U.S. National Under-18 Team [USHL],Oliver Wahlstrom,R,1
0,0,0,0,0,12,NY Islanders,2018,Acadie-Bathurst Titan [QMJHL],Noah Dobson,D,1
0,0,0,0,0,13,Dallas,2018,Flint Firebirds [OHL],Ty Dellandrea,C,1
0,0,0,0,0,14,Philadelphia,2018,U.S. National Under-18 Team [USHL],Joel Farabee,L,1
0,0,0,0,0,15,Florida,2018,Yaroslavl (Russia-Jr),Grigori Denisenko,L,1
0,0,0,0,0,16,Colorado,2018,Pardubice HC [Czech],Martin Kaut,R,1
0,0,0,0,0,17,New Jersey,2018,Spokane Chiefs [WHL],Ty Smith,D,1
0,0,0,0,0,18,Columbus,2018,London Knights [OHL],Liam Foudy,C,1
0,0,0,0,0,19,Philadelphia,2018,Thayer Academy (US H.S.),Jay O'Brien,C,1
0,0,0,0,0,20,Los Angeles,2018,Karpat [SM-liiga],Rasmus Kupari,C,1
0,0,0,0,0,21,San Jose,2018,Guelph Storm [OHL],Ryan Merkley,D,1
0,0,0,0,0,22,NY Rangers,2018,U.S. National Under-18 Team [USHL],K'Andre Miller,D,1
2,0,15,2,2,23,Anaheim,2018,Lulea HF [SweHL],Isac Lundestrom,C,1
0,0,0,0,0,24,Minnesota,2018,Leksands IF [Swe-1],Filip Johansson,D,1
0,0,0,0,0,25,St. Louis,2018,Vaxjo HC [SweHL],Dominik Bokk,L,1
0,0,0,0,0,26,Ottawa,2018,Okotoks Oilers [AJHL],Jacob Bernard-Docker,D,1
0,0,0,0,0,27,Chicago,2018,Drummondville Voltigeurs [QMJHL],Nicolas Beaudin,D,1
0,0,0,0,0,28,NY Rangers,2018,Lulea HF [SweHL],Nils Lundkvist,D,1
0,0,0,0,0,29,Toronto,2018,Soo Greyhounds [OHL],Rasmus Sandin,D,1
0,0,0,0,0,30,Detroit,2018,Drummondville Voltigeurs [QMJHL],Joe Veleno,C,1
0,0,0,0,0,31,Washington,2018,Red Deer Rebels [WHL],Alexander Alexeyev,D,1
0,0,0,0,0,32,Buffalo,2018,U.S. National Under-18 Team [USHL],Mattias Samuelsson,D,2
0,0,0,0,0,33,Detroit,2018,Skelleftea AIK [SweHL],Jonatan Berggren,C,2
0,0,0,0,0,34,Florida,2018,Oshawa Generals [OHL],Serron Noel,R,2
0,0,0,0,0,35,Montreal,2018,Espoo (Finland Jrs),Jesse Ylonen,R,2
0,0,0,0,0,36,Detroit,2018,Halifax Mooseheads [QMJHL],Jared McIsaac,D,2
0,0,0,0,0,37,Vancouver,2018,Moose Jaw Warriors [WHL],Jett Woo,D,2
0,0,0,0,0,38,Montreal,2018,CSKA-2 (Russia Jrs.),Alexander Romanov,D,2
0,0,0,0,0,39,NY Rangers,2018,Djurgarden-2 (Sweden Jrs.),Olof Lindbom,G,2
0,0,0,0,0,40,Edmonton,2018,Mississauga Steelheads [OHL],Ryan McLeod,C,2
0,0,0,0,0,41,NY Islanders,2018,U.S. National Under-18 Team [USHL],Bode Wilde,D,2
0,0,0,0,0,42,Carolina,2018,Waterloo Black Hawks [USHL],Jack Drury,C,2
0,0,0,0,0,43,NY Islanders,2018,CSKA-2 (Russia Jrs.),Ruslan Iskhakov,C,2
0,0,0,0,0,44,Dallas,2018,Skelleftea-2 (Sweden Jrs.),Albin Eriksson,L,2
0,0,0,0,0,45,St. Louis,2018,U. of Minnesota-Duluth [NCHC],Scott Perunovich,D,2
0,0,0,0,0,46,Washington,2018,Oskarshamn IK [Swe-1],Martin Fehervary,D,2
0,0,0,0,0,47,Washington,2018,Ottawa 67's [OHL],Kody Clark,R,2
0,0,0,0,0,48,Ottawa,2018,Penticton Vees [BCHL],Jonny Tychonick,D,2
0,0,0,0,0,49,Columbus,2018,Khanty-Mansiysk-2 (Russia Jrs.),Kirill Marchenko,R,2
0,0,0,0,0,50,Philadelphia,2018,Linkopings HC [SweHL],Adam Ginning,D,2
0,0,0,0,0,51,Los Angeles,2018,Niagara IceDogs [OHL],Akil Thomas,C,2
0,0,0,0,0,52,Toronto,2018,Owen Sound Attack [OHL],Sean Durzi,D,2
0,0,0,0,0,53,Pittsburgh,2018,Lethbridge Hurricanes [WHL],Calen Addison,D,2
0,0,0,0,0,54,Anaheim,2018,Halifax Mooseheads [QMJHL],Benoit-Olivier Groulx,C,2
0,0,0,0,0,55,Arizona,2018,Ottawa 67's [OHL],Kevin Bahl,D,2
0,0,0,0,0,56,Montreal,2018,Timra IK [Swe-1],Jacob Olofsson,C,2
0,0,0,0,0,57,Boston,2018,Djurgarden-2 (Sweden Jrs.),Axel Andersson,D,2
0,0,0,0,0,58,Pittsburgh,2018,Timra IK [Swe-1],Filip Hallander,C,2
0,0,0,0,0,59,Tampa Bay,2018,Baie-Comeau Drakkar [QMJHL],Gabriel Fortier,L,2
0,0,0,0,0,60,Winnipeg,2018,HV71 Jonkoping [SweHL],David Gustafsson,C,2
0,0,0,0,0,61,Vegas,2018,Khanty-Mansiysk-2 (Russia Jrs.),Ivan Morozov,L,2
0,0,0,0,0,62,Edmonton,2018,Drummondville Voltigeurs [QMJHL],Olivier Rodrigue,G,2
0,0,0,0,0,63,Minnesota,2018,Toronto Jr. Canadiens [OJHL],Jack McBain,C,3
0,0,0,0,0,64,Colorado,2018,Karpat-2 (Finland Jrs.),Justus Annunen,G,3
0,0,0,0,0,65,Arizona,2018,Benatky N.J. (Czech Jrs.),Jan Jenik,C,3
0,0,0,0,0,66,Montreal,2018,Guelph Storm [OHL],Cam Hillis,C,3
0,0,0,0,0,67,Detroit,2018,London Knights [OHL],Alec Regula,D,3
0,0,0,0,0,68,Vancouver,2018,Tri-City Storm [USHL],Tyler Madden,C,3
0,0,0,0,0,69,Chicago,2018,U.S. National Under-18 Team [USHL],Jake Wise,C,3
